# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# T = 3.999810270355639
# beta_F_mu = 0.836788
# m3 = 0
# neval = 500000
# Columns:n,emissivity (ergs/cm^3/s),error
2.500000000000000000e+01,1.106959516633779929e+22,4.795756329854926848e+19
2.500000000000000000e+01,1.109806971628973300e+22,4.766541850991190016e+19
2.500000000000000000e+01,1.106910910853762200e+22,4.388812209388770918e+19
2.500000000000000000e+01,1.108242606685953406e+22,4.746561879010655437e+19
2.500000000000000000e+01,1.109537681103905830e+22,4.590504503795086131e+19
2.500000000000000000e+01,1.101618265950177880e+22,4.476630149785289523e+19
2.500000000000000000e+01,1.101665534495024375e+22,4.617456157999543910e+19
2.500000000000000000e+01,1.107642809161348442e+22,4.645989865696718848e+19
2.500000000000000000e+01,1.102040186788485320e+22,4.542795263817160294e+19
2.500000000000000000e+01,1.110392873230903804e+22,4.530715114764363366e+19
2.500000000000000000e+01,1.109385719933718600e+22,4.794881349781309850e+19
2.500000000000000000e+01,1.102141651573348814e+22,4.591574500082606080e+19
2.500000000000000000e+01,1.104490348359528219e+22,4.630332221138214912e+19
2.500000000000000000e+01,1.106913172522822690e+22,4.604960311909558682e+19
3.000000000000000000e+01,1.105430982192180232e+22,4.489278670812530278e+19
3.000000000000000000e+01,1.109377596513096565e+22,4.970550471323793818e+19
3.000000000000000000e+01,1.104568952836253444e+22,4.474518799881570714e+19
3.000000000000000000e+01,1.103449529489681495e+22,4.628627213502933402e+19
3.000000000000000000e+01,1.103994192268182422e+22,4.425099206417176986e+19
3.000000000000000000e+01,1.103053880940817075e+22,4.744963946847247565e+19
3.000000000000000000e+01,1.101563695104938056e+22,4.531648039103229133e+19
3.000000000000000000e+01,1.099987931043889519e+22,4.910410133568009011e+19
3.000000000000000000e+01,1.107339004644171134e+22,4.909132117799440384e+19
3.000000000000000000e+01,1.115226416720562566e+22,5.041477625048446566e+19
3.000000000000000000e+01,1.108940562712773211e+22,5.016223752389858099e+19
3.000000000000000000e+01,1.109505561883997897e+22,4.757098570408708506e+19
3.000000000000000000e+01,1.118661294971684074e+22,5.377843067213555302e+19
3.000000000000000000e+01,1.103721861692596735e+22,4.382051162893688832e+19
3.000000000000000000e+01,1.104204215892866341e+22,4.658600096391059866e+19
