# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 10000000n = 10
# Columns:m3,emissivity (ergs/cm^3/s),error
2.725039014929878101e-01,1.755602815655123520e+10,1.101511536675944328e+08
6.079536526315789668e-01,7.839874788889687538e+09,6.904200504688966274e+07
1.129734005263157925e+00,4.258459781562874317e+08,4.490655706655739807e+06
1.651514357894736884e+00,6.683871345459822565e+06,7.753645285971133853e+04
2.173294710526315843e+00,5.121662622448448383e+04,6.170027170247348067e+02
2.695075063157894579e+00,2.649833895499729692e+02,2.969618182488283242e+00
3.216855415789473760e+00,1.208996267864010488e+00,1.459376055869106986e-02
3.738635768421052941e+00,4.528127646025508109e-03,6.220249326599922523e-05
4.260416121052631233e+00,1.099660941492542197e-05,1.694989098759720549e-07
4.782196473684209970e+00,1.214337695245551724e-08,2.129440350668181246e-10
5.303976826315788706e+00,3.169676036454155742e-12,6.409777016270288696e-14
5.825757178947368331e+00,0.000000000000000000e+00,7.071067811865475201e-130
6.347537531578947068e+00,0.000000000000000000e+00,7.071067811865475201e-130
6.869317884210525804e+00,0.000000000000000000e+00,7.071067811865475201e-130
7.391098236842105429e+00,0.000000000000000000e+00,7.071067811865475201e-130
7.912878589473684166e+00,0.000000000000000000e+00,7.071067811865475201e-130
8.434658942105263790e+00,0.000000000000000000e+00,7.071067811865475201e-130
8.956439294736842527e+00,0.000000000000000000e+00,7.071067811865475201e-130
9.478219647368421263e+00,0.000000000000000000e+00,7.071067811865475201e-130
1.000000000000000000e+01,0.000000000000000000e+00,7.071067811865475201e-130
1.269922315789473455e-01,1.896558666374970245e+10,1.124316757757526338e+08
1.678111631578947105e-01,1.901594065819259644e+10,1.157921561749528944e+08
2.086300947368421033e-01,1.851982734504978943e+10,1.148883310074778795e+08
2.494490263157894405e-01,1.796253278494099426e+10,1.139220143309277147e+08
2.902679578947368055e-01,1.739250946846346664e+10,1.114823198209545910e+08
3.310868894736841983e-01,1.631716111033677673e+10,1.102062312594185024e+08
3.719058210526315356e-01,1.540265757815286827e+10,1.091299657849451154e+08
4.127247526315788728e-01,1.411821878204600525e+10,1.039225135364244282e+08
4.535436842105262656e-01,1.294724264560713577e+10,1.058093038563755006e+08
4.943626157894736028e-01,1.162863458908311844e+10,9.441193468989631534e+07
5.351815473684210511e-01,1.028631085388160706e+10,8.714401698529489338e+07
5.760004789473683884e-01,8.704889301072338104e+09,7.448171103810691833e+07
6.168194105263157256e-01,7.643484832855041504e+09,6.825869499315130711e+07
6.576383421052630629e-01,6.524730685496693611e+09,6.103239633867523074e+07
6.984572736842104002e-01,5.253063861120697975e+09,4.769034264864847809e+07
7.392762052631577374e-01,4.372375818119886398e+09,4.130355627905512601e+07
7.800951368421051857e-01,3.697408404239981651e+09,3.762256637501507998e+07
8.209140684210525230e-01,2.936066119670586586e+09,3.151079065872195363e+07
8.617329999999999712e-01,2.304450139079246044e+09,2.366624856744862720e+07
